Age,Gender,Income,Location,Ad Type,Ad Topic,Ad Placement,Clicks,Click Time,Conversion Rate,CTR,Age_Group,Income_Band,High_CTR_Low_Conversion,High_CTR_High_Conversion
25,Male,56322.37,Urban,Video,Fashion,Social Media,8,2023-08-15 20:45:56.904436,0.451,0.0604,25–34,Middle,0,1
17,Male,56474.13,Urban,Native,Fashion,Search Engine,6,2023-10-09 20:45:56.904436,0.1488,0.0389,18–24,Middle,0,0
46,Female,44058.53,Suburban,Native,Finance,Website,6,2023-08-26 20:45:56.904436,0.1776,0.0236,45–54,Middle,0,0
30,Male,51666.14,Rural,Banner,Travel,Social Media,3,2023-08-01 20:45:56.904436,0.2554,0.0607,25–34,Middle,0,1
43,Male,80334.59,Suburban,Text,Travel,Website,0,2023-05-05 20:45:56.904436,0.4291,0.0812,35–44,Upper-Middle,0,1
24,Male,60657.53,Urban,Text,Fashion,Social Media,5,2024-04-17 20:45:56.904436,0.098,0.0259,18–24,Upper-Middle,0,0
34,Male,56056.97,Urban,Video,Health,Search Engine,5,2023-11-26 20:45:56.904436,0.2071,0.0563,25–34,Middle,0,1
24,Female,21586.89,Rural,Text,Finance,Search Engine,4,2023-08-16 20:45:56.904436,0.0385,0.0624,18–24,Low,1,0
45,Female,41340.52,Rural,Native,Fashion,Search Engine,2,2023-07-09 20:45:56.904436,0.1088,0.058,45–54,Middle,1,0
31,Female,77295.77,Suburban,Banner,Travel,Social Media,6,2023-06-28 20:45:56.904436,0.4106,0.061,25–34,Upper-Middle,0,1
24,Male,49603.53,Urban,Native,Travel,Website,7,2023-07-25 20:45:56.904436,0.0264,0.048,18–24,Middle,0,0
10,Female,72408.93,Urban,Video,Technology,Search Engine,3,2023-06-28 20:45:56.904436,0.2683,0.0577,18–24,Upper-Middle,0,1
39,Other,1303.99,Suburban,Native,Food,Website,10,2023-12-20 20:45:56.904436,0.5221,0.046,35–44,Low,0,0
24,Female,62732.35,Suburban,Banner,Travel,Social Media,6,2023-10-28 20:45:56.904436,0.3399,0.0493,18–24,Upper-Middle,0,0
34,Male,42871.07,Rural,Banner,Travel,Search Engine,3,2023-11-20 20:45:56.904436,0.1111,0.0485,25–34,Middle,0,0
27,Other,62279.97,Rural,Native,Fashion,Website,1,2023-12-17 20:45:56.904436,0.2845,0.0649,25–34,Upper-Middle,0,1
49,Female,51810.85,Suburban,Banner,Technology,Website,7,2024-03-14 20:45:56.904436,0.2496,0.0684,45–54,Middle,0,1
43,Male,49024.72,Suburban,Banner,Fashion,Social Media,4,2024-04-16 20:45:56.904436,0.2186,0.0333,35–44,Middle,0,0
41,Other,35928.47,Urban,Native,Fashion,Website,10,2024-02-24 20:45:56.904436,0.1269,0.0447,35–44,Middle,0,0
25,Female,56982.27,Suburban,Native,Fashion,Social Media,4,2023-12-01 20:45:56.904436,0.1183,0.0205,25–34,Middle,0,0
41,Male,16303.18,Urban,Banner,Technology,Search Engine,8,2023-04-22 20:45:56.904436,0.3587,0.0632,35–44,Low,0,1
60,Male,54714.57,Rural,Text,Health,Search Engine,8,2024-03-08 20:45:56.904436,0.1519,0.0485,55–64,Middle,0,0
22,Female,73434.72,Suburban,Video,Finance,Search Engine,6,2023-04-28 20:45:56.904436,0.2478,0.0329,18–24,Upper-Middle,0,0
37,Other,33037.15,Suburban,Banner,Technology,Website,1,2023-09-30 20:45:56.904436,0.2106,0.0507,35–44,Middle,0,1
10,Male,45609.95,Suburban,Native,Food,Search Engine,4,2023-09-23 20:45:56.904436,0.1894,0.0528,18–24,Middle,0,1
55,Male,56373.78,Rural,Banner,Fashion,Website,8,2024-01-15 20:45:56.904436,0.1529,0.0366,55–64,Middle,0,0
29,Male,55482.15,Rural,Native,Technology,Website,6,2023-06-15 20:45:56.904436,0.0971,0.0491,25–34,Middle,0,0
46,Male,57458.23,Urban,Text,Travel,Social Media,8,2024-03-04 20:45:56.904436,0.1014,0.0499,45–54,Middle,0,0
9,Male,55430.8,Rural,Banner,Health,Social Media,0,2023-05-06 20:45:56.904436,0.1704,0.0532,18–24,Middle,1,0
61,Female,41083.13,Urban,Native,Food,Search Engine,4,2023-08-12 20:45:56.904436,0.2869,0.0626,55–64,Middle,0,1
29,Male,42451.45,Urban,Banner,Fashion,Website,3,2023-08-19 20:45:56.904436,0.174,0.0649,25–34,Middle,1,0
43,Female,63219.5,Urban,Text,Travel,Search Engine,7,2023-10-16 20:45:56.904436,0.1743,0.0435,35–44,Upper-Middle,0,0
37,Male,29129.96,Urban,Video,Food,Website,8,2023-08-04 20:45:56.904436,0.1377,0.1056,35–44,Low,1,0
31,Other,26633.85,Urban,Video,Travel,Social Media,3,2023-09-07 20:45:56.904436,0.6127,0.0582,25–34,Low,0,1
60,Female,54463.9,Suburban,Text,Health,Search Engine,3,2023-12-28 20:45:56.904436,0.1715,0.048,55–64,Middle,0,0
10,Male,47945.87,Rural,Native,Technology,Social Media,2,2024-03-06 20:45:56.904436,0.3429,0.0509,18–24,Middle,0,1
39,Female,60667.59,Rural,Video,Finance,Website,2,2023-10-09 20:45:56.904436,0.185,0.0599,35–44,Upper-Middle,0,1
48,Female,41570.5,Urban,Video,Technology,Social Media,4,2024-02-17 20:45:56.904436,0.1681,0.0756,45–54,Middle,1,0
34,Male,32606.45,Urban,Native,Fashion,Search Engine,3,2023-04-24 20:45:56.904436,0.1777,0.0719,25–34,Middle,1,0
33,Female,38968.73,Urban,Banner,Health,Search Engine,8,2023-12-07 20:45:56.904436,0.3785,0.0328,25–34,Middle,0,0
32,Female,48540.63,Suburban,Video,Technology,Search Engine,8,2023-12-12 20:45:56.904436,0.13,0.0677,25–34,Middle,1,0
16,Other,42822.78,Rural,Text,Health,Social Media,5,2023-07-19 20:45:56.904436,0.143,0.0436,18–24,Middle,0,0
35,Female,34194.61,Rural,Video,Travel,Social Media,2,2023-06-15 20:45:56.904436,0.2925,0.05,35–44,Middle,0,0
42,Female,55808.91,Suburban,Text,Fashion,Website,4,2023-04-24 20:45:56.904436,0.2293,0.0666,35–44,Middle,0,1
36,Male,81675.77,Rural,Video,Health,Social Media,1,2023-08-20 20:45:56.904436,0.1733,0.0355,35–44,Upper-Middle,0,0
30,Female,28473.35,Suburban,Banner,Finance,Website,6,2024-01-25 20:45:56.904436,0.1739,0.0409,25–34,Low,0,0
27,Male,50753.31,Urban,Text,Travel,Social Media,2,2023-09-15 20:45:56.904436,0.0932,0.0457,25–34,Middle,0,0
30,Male,19763.93,Suburban,Banner,Travel,Website,3,2023-09-21 20:45:56.904436,0.5548,0.0851,25–34,Low,0,1
53,Male,50138.7,Suburban,Banner,Finance,Search Engine,4,2024-03-11 20:45:56.904436,0.0555,0.0692,45–54,Middle,1,0
3,Female,42871.41,Rural,Banner,Fashion,Search Engine,7,2023-10-26 20:45:56.904436,0.0945,0.0474,18–24,Middle,0,0
35,Male,62074.21,Suburban,Native,Travel,Website,5,2023-09-27 20:45:56.904436,0.089,0.0384,35–44,Upper-Middle,0,0
30,Male,51929.6,Rural,Video,Fashion,Search Engine,3,2024-04-16 20:45:56.904436,0.2708,0.0473,25–34,Middle,0,0
56,Female,80724.87,Rural,Banner,Fashion,Search Engine,5,2023-04-30 20:45:56.904436,0.1916,0.066,55–64,Upper-Middle,0,1
35,Male,55990.28,Rural,Video,Technology,Search Engine,8,2024-03-07 20:45:56.904436,0.1299,0.0356,35–44,Middle,0,0
57,Female,74428.82,Urban,Text,Technology,Social Media,2,2023-11-10 20:45:56.904436,0.029,0.0228,55–64,Upper-Middle,0,0
3,Male,65767.29,Rural,Native,Finance,Social Media,2,2023-09-07 20:45:56.904436,0.164,0.0145,18–24,Upper-Middle,0,0
41,Female,48240.07,Rural,Banner,Fashion,Social Media,6,2023-11-24 20:45:56.904436,0.5128,0.0579,35–44,Middle,0,1
39,Male,62234.06,Rural,Text,Finance,Website,9,2024-01-28 20:45:56.904436,0.1864,0.025,35–44,Upper-Middle,0,0
55,Female,43958.03,Urban,Banner,Finance,Search Engine,2,2024-03-17 20:45:56.904436,0.0347,0.0768,55–64,Middle,1,0
10,Male,13509.76,Urban,Video,Travel,Social Media,3,2023-10-12 20:45:56.904436,0.3522,0.0339,18–24,Low,0,0
32,Female,44550.62,Urban,Native,Finance,Social Media,8,2023-06-18 20:45:56.904436,0.2096,0.0508,25–34,Middle,0,1
35,Female,47671.28,Suburban,Native,Finance,Social Media,6,2023-07-29 20:45:56.904436,0.2651,0.0669,35–44,Middle,0,1
27,Other,39472.46,Suburban,Native,Travel,Search Engine,8,2023-07-08 20:45:56.904436,0.1949,0.0224,25–34,Middle,0,0
53,Male,54111.48,Rural,Video,Finance,Search Engine,3,2023-07-21 20:45:56.904436,0.2028,0.0377,45–54,Middle,0,0
29,Female,17297.4,Rural,Native,Technology,Social Media,7,2024-03-13 20:45:56.904436,0.444,0.0548,25–34,Low,0,1
65,Female,46557.54,Rural,Video,Finance,Website,5,2023-09-28 20:45:56.904436,0.2974,0.0669,65+,Middle,0,1
50,Female,59884.35,Urban,Banner,Health,Website,7,2023-10-15 20:45:56.904436,0.1334,0.0525,45–54,Middle,1,0
49,Male,37043.84,Suburban,Native,Travel,Social Media,10,2023-06-04 20:45:56.904436,0.4829,0.0519,45–54,Middle,0,1
43,Male,34359.84,Rural,Native,Technology,Website,5,2024-02-19 20:45:56.904436,0.265,0.0764,35–44,Middle,0,1
19,Male,75068.09,Urban,Text,Travel,Website,1,2023-10-09 20:45:56.904436,0.0499,0.0593,18–24,Upper-Middle,1,0
28,Male,31061.39,Urban,Text,Technology,Search Engine,6,2024-03-05 20:45:56.904436,0.1208,0.0507,25–34,Middle,1,0
43,Male,91413.87,Rural,Video,Finance,Website,9,2023-05-17 20:45:56.904436,0.5044,0.0456,35–44,High,0,0
45,Male,63066.3,Suburban,Text,Technology,Social Media,8,2023-10-04 20:45:56.904436,0.2095,0.0652,45–54,Upper-Middle,0,1
54,Male,61549.16,Rural,Banner,Technology,Social Media,8,2024-02-29 20:45:56.904436,0.1967,0.0687,45–54,Upper-Middle,0,1
27,Male,11320.59,Urban,Text,Technology,Search Engine,10,2023-06-13 20:45:56.904436,0.1473,0.0313,25–34,Low,0,0
22,Female,65213.04,Urban,Banner,Finance,Search Engine,5,2024-04-17 20:45:56.904436,0.0979,0.0122,18–24,Upper-Middle,0,0
47,Female,85889.55,Urban,Video,Finance,Social Media,4,2024-03-04 20:45:56.904436,0.137,0.0497,45–54,Upper-Middle,0,0
22,Male,28334.29,Rural,Video,Food,Social Media,4,2024-04-08 20:45:56.904436,0.1321,0.0657,18–24,Low,1,0
48,Male,64156.97,Suburban,Banner,Travel,Social Media,3,2023-12-30 20:45:56.904436,0.2399,0.0238,45–54,Upper-Middle,0,0
52,Male,19180.91,Suburban,Banner,Fashion,Website,7,2023-11-01 20:45:56.904436,0.2341,0.072,45–54,Low,0,1
41,Male,19145.46,Urban,Banner,Finance,Social Media,4,2023-07-04 20:45:56.904436,0.1219,0.0501,35–44,Low,0,0
29,Male,36615.26,Urban,Text,Health,Search Engine,5,2023-11-01 20:45:56.904436,0.1112,0.0538,25–34,Middle,1,0
35,Male,70459.16,Rural,Native,Travel,Website,3,2023-06-01 20:45:56.904436,0.4139,0.0424,35–44,Upper-Middle,0,0
43,Other,78387.2,Rural,Native,Fashion,Social Media,8,2023-10-11 20:45:56.904436,0.3501,0.0751,35–44,Upper-Middle,0,1
35,Male,31732.91,Urban,Banner,Fashion,Website,5,2023-05-30 20:45:56.904436,0.092,0.0006,35–44,Middle,0,0
67,Male,59680.15,Rural,Video,Food,Search Engine,2,2023-06-19 20:45:56.904436,0.241,0.0543,65+,Middle,0,1
20,Female,30493.0,Urban,Banner,Technology,Website,5,2023-08-29 20:45:56.904436,0.1485,0.0546,18–24,Middle,1,0
19,Male,54373.0,Urban,Native,Technology,Social Media,4,2023-10-11 20:45:56.904436,0.1865,0.0686,18–24,Middle,0,1
20,Female,53071.69,Rural,Banner,Travel,Search Engine,8,2023-10-21 20:45:56.904436,0.0692,0.0436,18–24,Middle,0,0
26,Male,23422.5,Urban,Video,Technology,Social Media,4,2023-10-16 20:45:56.904436,0.2606,0.0313,25–34,Low,0,0
2,Male,56331.56,Suburban,Text,Health,Search Engine,5,2023-11-02 20:45:56.904436,0.44,0.077,18–24,Middle,0,1
25,Female,33913.07,Suburban,Text,Food,Search Engine,5,2023-12-16 20:45:56.904436,0.3245,0.0535,25–34,Middle,0,1
25,Male,34524.27,Urban,Native,Travel,Website,7,2023-08-16 20:45:56.904436,0.2551,0.0413,25–34,Middle,0,0
36,Other,49549.53,Urban,Native,Food,Social Media,5,2023-04-28 20:45:56.904436,0.0353,0.0551,35–44,Middle,1,0
41,Male,7386.02,Urban,Video,Technology,Search Engine,8,2024-03-24 20:45:56.904436,0.204,0.0429,35–44,Low,0,0
16,Female,49984.05,Urban,Banner,Fashion,Social Media,4,2024-03-31 20:45:56.904436,0.4433,0.0522,18–24,Middle,0,1
48,Female,47074.01,Urban,Banner,Health,Social Media,5,2023-07-01 20:45:56.904436,0.374,0.0168,45–54,Middle,0,0
62,Male,57516.9,Suburban,Native,Health,Social Media,8,2023-05-23 20:45:56.904436,0.1376,0.0453,55–64,Middle,0,0
31,Other,39034.48,Rural,Video,Technology,Social Media,3,2023-11-13 20:45:56.904436,0.213,0.0736,25–34,Middle,0,1
58,Male,44191.23,Rural,Banner,Food,Social Media,1,2023-11-14 20:45:56.904436,0.2149,0.0682,55–64,Middle,0,1
37,Male,45593.27,Urban,Native,Technology,Social Media,3,2024-04-07 20:45:56.904436,0.0557,0.0593,35–44,Middle,1,0
64,Female,47278.52,Rural,Video,Technology,Social Media,6,2023-08-03 20:45:56.904436,0.1806,0.0348,55–64,Middle,0,0
51,Other,68616.94,Urban,Native,Health,Social Media,3,2023-09-26 20:45:56.904436,0.092,0.056,45–54,Upper-Middle,1,0
11,Male,61438.82,Urban,Native,Health,Website,5,2024-03-01 20:45:56.904436,0.2487,0.0976,18–24,Upper-Middle,0,1
35,Female,33384.39,Urban,Video,Technology,Social Media,4,2023-11-18 20:45:56.904436,0.177,0.1072,35–44,Middle,1,0
50,Male,83560.06,Rural,Text,Food,Search Engine,4,2023-09-13 20:45:56.904436,0.07,0.0899,45–54,Upper-Middle,1,0
35,Female,26205.97,Urban,Native,Technology,Website,2,2023-11-06 20:45:56.904436,0.2865,0.0761,35–44,Low,0,1
34,Female,27272.95,Urban,Text,Fashion,Website,5,2023-04-25 20:45:56.904436,0.2423,0.0099,25–34,Low,0,0
54,Male,60886.85,Rural,Text,Technology,Website,5,2023-08-07 20:45:56.904436,0.1853,0.0804,45–54,Upper-Middle,0,1
24,Male,62233.66,Urban,Banner,Fashion,Search Engine,2,2023-10-04 20:45:56.904436,0.0442,0.0705,18–24,Upper-Middle,1,0
35,Female,69493.33,Rural,Text,Finance,Search Engine,6,2024-02-20 20:45:56.904436,0.2767,0.0659,35–44,Upper-Middle,0,1
39,Male,42365.24,Urban,Text,Travel,Website,6,2024-01-20 20:45:56.904436,0.0919,0.0087,35–44,Middle,0,0
29,Female,87801.06,Urban,Banner,Fashion,Search Engine,5,2023-09-11 20:45:56.904436,0.1501,0.0588,25–34,Upper-Middle,1,0
34,Female,35129.08,Urban,Text,Technology,Social Media,2,2023-07-20 20:45:56.904436,0.1305,0.0208,25–34,Middle,0,0
46,Female,99995.51,Rural,Banner,Food,Social Media,5,2023-05-21 20:45:56.904436,0.1009,0.0351,45–54,High,0,0
41,Male,55144.02,Rural,Video,Technology,Website,2,2023-04-28 20:45:56.904436,0.095,0.0629,35–44,Middle,1,0
22,Female,46578.45,Suburban,Video,Food,Search Engine,8,2023-07-08 20:45:56.904436,0.2754,0.0442,18–24,Middle,0,0
18,Female,80303.9,Suburban,Text,Health,Social Media,6,2024-01-08 20:45:56.904436,0.184,0.0281,18–24,Upper-Middle,0,0
23,Male,58516.22,Rural,Video,Technology,Website,3,2023-07-21 20:45:56.904436,0.1222,0.0211,18–24,Middle,0,0
35,Other,65869.3,Suburban,Banner,Travel,Search Engine,5,2023-08-21 20:45:56.904436,0.4406,0.0461,35–44,Upper-Middle,0,0
32,Male,62462.49,Rural,Native,Fashion,Social Media,9,2023-10-10 20:45:56.904436,0.5361,0.0735,25–34,Upper-Middle,0,1
22,Female,40318.05,Suburban,Video,Technology,Website,3,2023-10-05 20:45:56.904436,0.0743,0.075,18–24,Middle,1,0
26,Male,31596.8,Urban,Banner,Finance,Social Media,4,2023-09-16 20:45:56.904436,0.234,0.0597,25–34,Middle,0,1
12,Female,40334.08,Suburban,Video,Finance,Website,6,2024-02-26 20:45:56.904436,0.2078,0.016,18–24,Middle,0,0
41,Other,72724.52,Urban,Text,Health,Website,4,2023-09-09 20:45:56.904436,0.1219,0.0607,35–44,Upper-Middle,1,0
34,Male,35920.84,Rural,Video,Fashion,Search Engine,3,2023-10-10 20:45:56.904436,0.1616,0.054,25–34,Middle,1,0
16,Female,66221.32,Suburban,Native,Food,Social Media,6,2023-12-05 20:45:56.904436,0.0785,0.0417,18–24,Upper-Middle,0,0
35,Male,62399.73,Urban,Banner,Food,Social Media,5,2023-12-25 20:45:56.904436,0.1068,0.0632,35–44,Upper-Middle,1,0
55,Male,25653.13,Rural,Video,Travel,Website,3,2023-06-26 20:45:56.904436,0.2926,0.04,55–64,Low,0,0
23,Male,64866.19,Rural,Banner,Finance,Website,2,2023-12-19 20:45:56.904436,0.0515,0.0414,18–24,Upper-Middle,0,0
54,Other,25384.06,Rural,Video,Fashion,Website,5,2024-03-24 20:45:56.904436,0.215,0.0404,45–54,Low,0,0
30,Male,66327.56,Suburban,Banner,Travel,Search Engine,4,2023-11-26 20:45:56.904436,0.3233,0.0708,25–34,Upper-Middle,0,1
37,Female,75797.48,Suburban,Native,Food,Social Media,4,2024-02-25 20:45:56.904436,0.1547,0.0503,35–44,Upper-Middle,0,0
36,Female,31119.76,Rural,Native,Travel,Website,2,2024-04-03 20:45:56.904436,0.5709,0.0608,35–44,Middle,0,1
56,Female,64257.95,Urban,Native,Finance,Website,5,2023-10-08 20:45:56.904436,0.0723,0.0658,55–64,Upper-Middle,1,0
37,Male,57668.33,Rural,Video,Food,Search Engine,9,2024-03-25 20:45:56.904436,0.2217,0.0562,35–44,Middle,0,1
17,Other,45103.84,Rural,Video,Finance,Website,7,2023-11-08 20:45:56.904436,0.1862,0.0391,18–24,Middle,0,0
15,Other,41582.06,Suburban,Banner,Technology,Website,6,2023-11-14 20:45:56.904436,0.094,0.0699,18–24,Middle,1,0
12,Female,71552.91,Rural,Banner,Health,Search Engine,4,2023-09-15 20:45:56.904436,0.0749,0.047,18–24,Upper-Middle,0,0
9,Female,31645.83,Suburban,Text,Technology,Search Engine,8,2024-02-07 20:45:56.904436,0.1305,0.0645,18–24,Middle,1,0
35,Male,22381.52,Suburban,Native,Health,Search Engine,5,2024-04-11 20:45:56.904436,0.2505,0.0794,35–44,Low,0,1
20,Male,48901.45,Suburban,Video,Finance,Social Media,5,2024-03-14 20:45:56.904436,0.2094,0.0723,18–24,Middle,0,1
33,Male,58648.65,Rural,Banner,Travel,Search Engine,7,2024-03-12 20:45:56.904436,0.0316,0.0609,25–34,Middle,1,0
24,Male,67801.25,Suburban,Native,Health,Search Engine,5,2023-08-05 20:45:56.904436,0.1651,0.007,18–24,Upper-Middle,0,0
23,Male,47928.74,Suburban,Text,Food,Search Engine,3,2023-05-18 20:45:56.904436,0.3437,0.0217,18–24,Middle,0,0
27,Male,63250.25,Suburban,Video,Travel,Website,2,2023-10-31 20:45:56.904436,0.2314,0.0641,25–34,Upper-Middle,0,1
45,Female,26962.25,Suburban,Text,Finance,Social Media,2,2024-03-30 20:45:56.904436,0.5885,0.0875,45–54,Low,0,1
48,Male,55672.83,Suburban,Video,Fashion,Search Engine,9,2023-08-06 20:45:56.904436,0.1486,0.0471,45–54,Middle,0,0
40,Male,75643.88,Rural,Banner,Food,Website,7,2023-12-30 20:45:56.904436,0.0803,0.0435,35–44,Upper-Middle,0,0
20,Male,44520.41,Urban,Banner,Health,Website,6,2024-02-22 20:45:56.904436,0.2242,0.0743,18–24,Middle,0,1
44,Male,58021.15,Urban,Native,Technology,Search Engine,5,2023-05-06 20:45:56.904436,0.2208,0.056,35–44,Middle,0,1
45,Female,43585.46,Suburban,Video,Fashion,Social Media,8,2023-09-10 20:45:56.904436,0.0288,0.0493,45–54,Middle,0,0
39,Female,84523.04,Suburban,Text,Travel,Search Engine,4,2023-06-17 20:45:56.905392,0.2082,0.0565,35–44,Upper-Middle,0,1
25,Male,60800.11,Urban,Text,Fashion,Website,5,2023-05-06 20:45:56.905392,0.2627,0.0818,25–34,Upper-Middle,0,1
45,Female,53417.42,Rural,Native,Technology,Website,4,2023-09-30 20:45:56.905392,0.1037,0.0668,45–54,Middle,1,0
41,Male,63682.55,Suburban,Banner,Fashion,Social Media,3,2023-11-05 20:45:56.905392,0.1508,0.0315,35–44,Upper-Middle,0,0
-11,Female,61676.65,Urban,Text,Technology,Search Engine,3,2023-11-24 20:45:56.905392,0.1491,0.0321,,Upper-Middle,0,0
44,Female,27049.85,Suburban,Banner,Technology,Search Engine,3,2024-01-28 20:45:56.905392,0.1238,0.0092,35–44,Low,0,0
6,Female,69234.51,Urban,Native,Finance,Website,2,2023-06-21 20:45:56.905392,0.1374,0.0551,18–24,Upper-Middle,1,0
44,Female,39455.12,Urban,Native,Fashion,Social Media,3,2023-07-20 20:45:56.905392,0.2027,0.0448,35–44,Middle,0,0
32,Male,43876.49,Rural,Video,Technology,Website,5,2024-01-24 20:45:56.905392,0.1448,0.0788,25–34,Middle,1,0
52,Male,44395.11,Urban,Banner,Fashion,Social Media,6,2023-05-07 20:45:56.905392,0.1012,0.0733,45–54,Middle,1,0
33,Male,24609.69,Urban,Text,Finance,Social Media,5,2023-07-04 20:45:56.905392,0.0398,0.0407,25–34,Low,0,0
21,Male,17155.81,Suburban,Native,Health,Social Media,3,2023-11-01 20:45:56.905392,0.1477,0.0181,18–24,Low,0,0
32,Male,56117.43,Urban,Banner,Travel,Search Engine,4,2023-07-22 20:45:56.905392,0.1632,0.0129,25–34,Middle,0,0
50,Male,49742.59,Urban,Video,Health,Social Media,3,2024-03-29 20:45:56.905392,0.1955,0.0716,45–54,Middle,0,1
35,Male,-2587.51,Urban,Text,Health,Social Media,2,2023-11-21 20:45:56.905392,0.6699,0.0466,35–44,,0,0
33,Male,42843.26,Suburban,Text,Fashion,Social Media,5,2024-03-16 20:45:56.905392,0.0527,0.0509,25–34,Middle,1,0
46,Male,41993.83,Suburban,Text,Health,Search Engine,6,2023-12-26 20:45:56.905392,0.2408,0.0339,45–54,Middle,0,0
38,Male,68149.68,Urban,Text,Travel,Website,11,2024-04-02 20:45:56.905392,0.3443,0.0228,35–44,Upper-Middle,0,0
34,Female,68691.97,Urban,Video,Technology,Website,3,2023-07-10 20:45:56.905392,0.1904,0.0215,25–34,Upper-Middle,0,0
55,Female,69358.12,Rural,Video,Finance,Social Media,8,2023-12-11 20:45:56.905392,0.3108,0.0341,55–64,Upper-Middle,0,0
58,Female,56037.71,Urban,Banner,Technology,Social Media,9,2024-03-27 20:45:56.905392,0.1946,0.0641,55–64,Middle,0,1
44,Male,50723.67,Urban,Native,Technology,Website,10,2024-04-10 20:45:56.905392,0.0804,0.0431,35–44,Middle,0,0
30,Male,51947.53,Urban,Banner,Technology,Website,5,2024-02-03 20:45:56.905392,0.0364,0.0442,25–34,Middle,0,0
57,Male,17847.01,Rural,Text,Technology,Search Engine,2,2023-06-02 20:45:56.905392,0.3346,0.0447,55–64,Low,0,0
52,Male,21915.87,Rural,Native,Health,Social Media,4,2023-05-14 20:45:56.905392,0.3869,0.0633,45–54,Low,0,1
45,Female,35762.9,Suburban,Text,Food,Website,5,2023-09-07 20:45:56.905392,0.3074,0.0574,45–54,Middle,0,1
16,Male,61122.04,Rural,Banner,Technology,Website,4,2023-06-12 20:45:56.905392,0.3623,0.0622,18–24,Upper-Middle,0,1
37,Female,49270.16,Urban,Video,Technology,Website,5,2023-10-09 20:45:56.905392,0.4447,0.0554,35–44,Middle,0,1
23,Other,19654.31,Suburban,Video,Travel,Search Engine,5,2023-05-20 20:45:56.905392,0.0182,0.0537,18–24,Low,1,0
32,Male,98015.06,Suburban,Banner,Fashion,Social Media,6,2023-07-03 20:45:56.905392,0.1389,0.0491,25–34,High,0,0
38,Female,46636.54,Urban,Banner,Travel,Search Engine,7,2024-03-29 20:45:56.905392,0.2685,0.053,35–44,Middle,0,1
36,Female,31724.95,Rural,Native,Food,Social Media,2,2023-09-02 20:45:56.905392,0.1204,0.051,35–44,Middle,1,0
27,Male,21289.53,Rural,Text,Technology,Website,7,2024-04-13 20:45:56.905392,0.1573,0.0418,25–34,Low,0,0
54,Female,65048.95,Urban,Text,Travel,Website,7,2024-03-12 20:45:56.905392,0.1069,0.067,45–54,Upper-Middle,1,0
9,Other,93748.52,Urban,Banner,Travel,Social Media,6,2023-11-07 20:45:56.905392,0.189,0.0436,18–24,High,0,0
45,Other,60101.07,Rural,Text,Health,Social Media,5,2023-12-17 20:45:56.905392,0.3473,0.0607,45–54,Upper-Middle,0,1
7,Male,41836.21,Suburban,Text,Health,Website,2,2024-02-06 20:45:56.905392,0.1305,0.0403,18–24,Middle,0,0
40,Female,44260.27,Urban,Text,Technology,Social Media,7,2023-05-04 20:45:56.905392,0.4561,0.0445,35–44,Middle,0,0
21,Male,34371.22,Suburban,Video,Food,Social Media,4,2024-01-20 20:45:56.905392,0.0678,0.023,18–24,Middle,0,0
48,Other,31634.75,Urban,Native,Finance,Social Media,5,2024-02-27 20:45:56.905392,0.0287,0.0748,45–54,Middle,1,0
36,Male,97582.92,Rural,Native,Food,Search Engine,8,2023-04-24 20:45:56.905392,0.1917,0.0242,35–44,High,0,0
38,Female,26351.24,Urban,Video,Health,Search Engine,6,2023-05-17 20:45:56.905392,0.4171,0.0175,35–44,Low,0,0
19,Male,50715.33,Suburban,Video,Health,Search Engine,2,2024-03-25 20:45:56.905392,0.0513,0.0467,18–24,Middle,0,0
25,Male,29890.19,Suburban,Native,Travel,Website,4,2024-03-30 20:45:56.905392,0.0651,0.0288,25–34,Low,0,0
38,Female,55640.07,Rural,Video,Fashion,Social Media,6,2024-01-17 20:45:56.905392,0.2364,0.0622,35–44,Middle,0,1
43,Male,44657.58,Rural,Banner,Health,Social Media,5,2023-09-04 20:45:56.905392,0.3134,0.0507,35–44,Middle,0,1
78,Female,46715.06,Rural,Banner,Food,Search Engine,7,2023-05-16 20:45:56.905392,0.1923,0.0588,65+,Middle,0,1
38,Male,78234.73,Rural,Banner,Food,Website,8,2023-07-01 20:45:56.905392,0.267,0.062,35–44,Upper-Middle,0,1
49,Female,45079.19,Urban,Banner,Finance,Website,5,2023-07-02 20:45:56.905392,0.3744,0.0423,45–54,Middle,0,0
11,Female,34179.27,Urban,Video,Food,Social Media,8,2023-04-30 20:45:56.905392,0.2508,0.0495,18–24,Middle,0,0
15,Other,69418.65,Rural,Native,Health,Website,5,2023-09-09 20:45:56.905392,0.3028,0.0318,18–24,Upper-Middle,0,0
29,Female,74245.29,Urban,Native,Finance,Social Media,1,2023-05-20 20:45:56.905392,0.3486,0.0486,25–34,Upper-Middle,0,0
17,Male,57472.71,Urban,Native,Health,Website,5,2023-09-20 20:45:56.905392,0.036,0.0573,18–24,Middle,1,0
57,Male,69093.47,Suburban,Video,Finance,Website,6,2023-06-10 20:45:56.905392,0.2203,0.0463,55–64,Upper-Middle,0,0
28,Male,39620.22,Rural,Text,Finance,Social Media,3,2023-11-13 20:45:56.905392,0.0999,0.0453,25–34,Middle,0,0
55,Other,66690.3,Suburban,Video,Health,Website,5,2023-08-29 20:45:56.905392,0.3254,0.0572,55–64,Upper-Middle,0,1
